t;v
0.00000000;3.95269794
0.15101260;3.51755469
0.15731920;3.11609665
0.21301530;2.74738811
0.26887070;2.41049338
0.30381330;2.10447677
0.32760200;1.82840257
0.35070490;1.58133509
0.36311910;1.36233862
0.38318810;1.17047748
0.39404630;1.00481596
0.40481890;0.86441837
0.41574900;0.74834901
0.42693920;0.38660659
0.43794520;-0.01287041
0.44906690;0.76857354
0.46029490;0.75870725
0.47127440;0.73037058
0.48250110;0.72749689
0.49332880;0.70949734
0.50435050;0.68745365
0.51549290;0.67440806
0.52746390;0.66703994
0.53756470;0.68705354
0.54865270;0.63829492
0.55980070;0.59744050
0.57081340;0.57555917
0.58198190;0.54766472
0.59308120;0.51010735
0.60420530;0.47652348
0.61530660;0.45248132
0.62648860;0.42689051
0.63908940;0.39933090
0.64843320;0.35464897
0.65934510;0.33150497
0.67053630;0.30507679
0.68151130;0.28701311
0.69261310;0.26656180
0.70366750;0.24625267
0.71465950;0.22762457
0.72556570;0.22221731
0.73670980;0.21072062
0.74781330;0.20644843
0.75874820;0.20568127
0.76992470;0.20459410
0.78111820;0.20079667
0.79189700;0.23015151
0.80311110;0.20866362
0.81414800;0.21008473
0.82620660;0.22406075
0.83636540;0.23097479
0.84740710;0.23917006
0.85858020;0.23750359
0.86965650;0.24052746
0.88077000;0.25405958
0.89201690;0.26175903
0.90305940;0.25458822
0.91411810;0.25089450
0.92521070;0.26165325
0.93645220;0.26729372
0.94753410;0.26493768
0.95865270;0.28567129
0.96973930;0.27500531
0.98077030;0.29128159
0.99186720;0.28687516
1.00293150;0.29168560
1.01415950;0.30135997
1.02527700;0.30579301
1.03652580;0.30184385
1.04774920;0.30753884
1.05872740;0.32006168
1.06983680;0.32721278
1.08096500;0.32907189
1.09212710;0.33548973
1.10352030;0.33763322
1.11455030;0.34413342
1.12560040;0.35093716
1.13659610;0.34029616
1.14791500;0.34484189
1.15919820;0.34774910
1.17021790;0.33759137
1.18134680;0.33878514
1.19224910;0.35005396
1.20363410;0.35415529
1.21465370;0.34922519
1.22579520;0.36628195
1.23674160;0.35140121
1.24785610;0.36018932
1.25905750;0.35989238
1.27022480;0.36920773
1.28152300;0.34707494
1.29366960;0.35028421
1.30359800;0.34938844
1.31452230;0.34042082
1.32582120;0.34119235
1.33694570;0.32933819
1.34807630;0.31640216
1.35933670;0.31456890
1.37041270;0.30400051
1.38149700;0.27950152
1.39264530;0.29377062
1.40352950;0.26642899
1.41484200;0.25903336
1.42591170;0.24230399
1.43691620;0.23462586
1.44797450;0.23171777
1.45924250;0.21238138
1.47029450;0.21342827
1.48146720;0.21184999
1.49259470;0.22695148
1.50375670;0.21688875
1.51502910;0.22311240
1.52636060;0.22477810
1.53719780;0.22006546
1.54834400;0.21270138
1.55927420;0.22471871
1.57055560;0.22100837
1.58159210;0.20904556
1.59274660;0.21213583
1.60383540;0.20826900
1.61508670;0.20481128
1.62625540;0.21245507
1.63724450;0.21118965
1.64843750;0.20398190
1.65955050;0.22252387
1.67091890;0.19690442
1.68192210;0.19588596
1.69287510;0.18512412
